Enhetsnamn,Rn-sniffer
Enhets-SN,HA02EQ000142
Radonenhet,Bq/m3
Antal data,2260
Varaktighet,01/09/2024 ~ 30/11/2024
Mättid,Radonavläsning per timme
13/09/2024 00:51,51
13/09/2024 00:51,51
13/09/2024 01:51,47
13/09/2024 01:51,47
13/09/2024 01:51,47
13/09/2024 02:51,67
13/09/2024 02:51,67
13/09/2024 02:51,67
13/09/2024 03:51,67
13/09/2024 03:51,67
13/09/2024 03:51,67
13/09/2024 04:51,77
13/09/2024 05:51,54
13/09/2024 06:51,54
13/09/2024 07:51,76
13/09/2024 08:51,99
13/09/2024 09:51,99
13/09/2024 10:51,99
13/09/2024 11:51,97
13/09/2024 12:51,99
13/09/2024 13:51,99
13/09/2024 14:51,106
13/09/2024 15:51,68
13/09/2024 16:51,77
13/09/2024 17:51,54
13/09/2024 18:51,38
13/09/2024 19:51,26
13/09/2024 20:51,28
13/09/2024 21:51,38
13/09/2024 22:51,60
13/09/2024 23:51,56
14/09/2024 00:51,68
14/09/2024 01:51,92
14/09/2024 02:51,93
14/09/2024 03:51,79
14/09/2024 04:51,90
14/09/2024 05:51,88
14/09/2024 06:51,90
14/09/2024 07:51,92
14/09/2024 08:51,108
14/09/2024 09:51,108
14/09/2024 10:51,118
14/09/2024 11:51,92
14/09/2024 12:51,51
14/09/2024 13:51,35
14/09/2024 14:51,14
14/09/2024 15:51,9
14/09/2024 16:51,7
14/09/2024 17:51,7
14/09/2024 18:51,14
14/09/2024 19:51,26
14/09/2024 20:51,26
14/09/2024 21:51,51
14/09/2024 22:51,79
14/09/2024 23:51,77
15/09/2024 00:51,74
15/09/2024 01:51,100
15/09/2024 02:51,79
15/09/2024 03:51,70
15/09/2024 04:51,65
15/09/2024 05:51,67
15/09/2024 06:51,79
15/09/2024 07:51,53
15/09/2024 08:51,56
15/09/2024 09:51,109
15/09/2024 10:51,156
15/09/2024 11:51,131
15/09/2024 12:51,102
15/09/2024 13:51,51
15/09/2024 14:51,40
15/09/2024 15:51,17
15/09/2024 16:51,31
15/09/2024 17:51,24
15/09/2024 18:51,9
15/09/2024 19:51,17
15/09/2024 20:51,35
15/09/2024 21:51,88
15/09/2024 22:51,95
15/09/2024 23:51,97
16/09/2024 00:51,111
16/09/2024 01:51,86
16/09/2024 02:51,88
16/09/2024 03:51,86
16/09/2024 04:51,77
16/09/2024 05:51,77
16/09/2024 06:51,95
16/09/2024 07:51,117
16/09/2024 08:51,133
16/09/2024 09:51,81
16/09/2024 10:51,108
16/09/2024 11:51,118
16/09/2024 12:51,90
16/09/2024 13:51,70
16/09/2024 14:51,74
16/09/2024 15:51,95
16/09/2024 16:51,86
16/09/2024 17:51,86
16/09/2024 18:51,104
16/09/2024 19:51,115
16/09/2024 20:51,90
16/09/2024 21:51,68
16/09/2024 22:51,86
16/09/2024 23:51,84
17/09/2024 00:51,99
17/09/2024 01:51,124
17/09/2024 02:51,108
17/09/2024 03:51,104
17/09/2024 04:51,122
17/09/2024 05:51,106
17/09/2024 06:51,120
17/09/2024 07:51,97
17/09/2024 08:51,106
17/09/2024 09:51,120
17/09/2024 10:51,106
17/09/2024 11:51,136
17/09/2024 12:51,111
17/09/2024 13:51,77
17/09/2024 14:51,120
17/09/2024 15:51,111
17/09/2024 16:51,99
17/09/2024 17:51,109
17/09/2024 18:51,51
17/09/2024 19:51,37
17/09/2024 20:51,49
17/09/2024 21:51,40
17/09/2024 22:51,51
17/09/2024 23:51,56
18/09/2024 00:51,74
18/09/2024 01:51,72
18/09/2024 02:51,84
18/09/2024 03:51,90
18/09/2024 04:51,111
18/09/2024 05:51,126
18/09/2024 06:51,126
18/09/2024 07:51,118
18/09/2024 08:51,77
18/09/2024 09:51,97
18/09/2024 10:51,108
18/09/2024 11:51,126
18/09/2024 12:51,147
18/09/2024 13:51,127
18/09/2024 14:51,135
18/09/2024 15:51,104
18/09/2024 16:51,92
18/09/2024 17:51,65
18/09/2024 18:51,65
18/09/2024 19:51,30
18/09/2024 20:51,49
18/09/2024 21:51,49
18/09/2024 22:51,76
18/09/2024 23:51,88
19/09/2024 00:51,97
19/09/2024 01:51,100
19/09/2024 02:51,118
19/09/2024 03:51,100
19/09/2024 04:51,124
19/09/2024 05:51,175
19/09/2024 06:51,149
19/09/2024 07:51,171
19/09/2024 08:51,165
19/09/2024 09:51,165
19/09/2024 10:51,136
19/09/2024 11:51,138
19/09/2024 12:51,100
19/09/2024 13:51,81
19/09/2024 14:51,60
19/09/2024 15:51,65
19/09/2024 16:51,44
19/09/2024 17:51,31
19/09/2024 18:51,23
19/09/2024 19:51,24
19/09/2024 20:51,23
19/09/2024 21:51,14
19/09/2024 22:51,16
19/09/2024 23:51,16
20/09/2024 00:51,10
20/09/2024 01:51,17
20/09/2024 02:51,9
20/09/2024 03:51,14
20/09/2024 04:51,17
20/09/2024 05:51,9
20/09/2024 06:51,7
20/09/2024 07:51,7
20/09/2024 08:51,12
20/09/2024 09:51,21
20/09/2024 10:51,10
20/09/2024 11:51,35
20/09/2024 12:51,21
20/09/2024 13:51,35
20/09/2024 14:51,28
20/09/2024 15:51,31
20/09/2024 16:51,54
20/09/2024 17:51,38
20/09/2024 18:51,35
20/09/2024 19:51,28
20/09/2024 20:51,37
20/09/2024 21:51,30
20/09/2024 22:51,49
20/09/2024 23:51,40
21/09/2024 01:38,65
21/09/2024 02:38,70
21/09/2024 03:38,90
21/09/2024 04:38,88
21/09/2024 05:38,115
21/09/2024 06:38,83
21/09/2024 07:38,90
21/09/2024 08:38,102
21/09/2024 09:38,113
21/09/2024 10:38,90
21/09/2024 11:38,40
21/09/2024 12:38,40
21/09/2024 13:38,21
21/09/2024 14:38,26
21/09/2024 15:38,23
21/09/2024 16:38,28
21/09/2024 17:38,28
21/09/2024 18:38,24
21/09/2024 19:38,21
21/09/2024 20:38,24
21/09/2024 21:38,23
21/09/2024 22:38,47
21/09/2024 23:38,30
22/09/2024 00:38,49
22/09/2024 01:38,45
22/09/2024 02:38,38
22/09/2024 03:38,45
22/09/2024 04:38,54
22/09/2024 05:38,37
22/09/2024 06:38,49
22/09/2024 07:38,72
22/09/2024 08:38,68
22/09/2024 09:38,61
22/09/2024 10:38,44
22/09/2024 11:38,49
22/09/2024 12:38,37
22/09/2024 13:38,26
22/09/2024 14:38,35
22/09/2024 15:38,30
22/09/2024 16:38,33
22/09/2024 17:38,40
22/09/2024 18:38,23
22/09/2024 19:38,26
22/09/2024 20:38,26
22/09/2024 21:38,37
22/09/2024 22:38,49
22/09/2024 23:38,45
23/09/2024 00:38,56
23/09/2024 01:38,65
23/09/2024 02:38,53
23/09/2024 03:38,84
23/09/2024 04:38,102
23/09/2024 05:38,93
23/09/2024 06:38,100
23/09/2024 07:38,127
23/09/2024 08:38,126
23/09/2024 09:38,113
23/09/2024 10:38,106
23/09/2024 11:38,102
23/09/2024 12:38,86
23/09/2024 13:38,60
23/09/2024 14:38,28
23/09/2024 15:38,54
23/09/2024 16:38,44
23/09/2024 17:38,31
23/09/2024 18:38,21
23/09/2024 19:38,31
23/09/2024 20:38,31
23/09/2024 21:38,44
23/09/2024 22:38,56
23/09/2024 23:38,56
24/09/2024 00:38,79
24/09/2024 01:38,93
24/09/2024 02:38,120
24/09/2024 03:38,113
24/09/2024 04:38,136
24/09/2024 05:38,136
24/09/2024 06:38,165
24/09/2024 07:38,164
24/09/2024 08:38,175
24/09/2024 09:38,178
24/09/2024 10:38,164
24/09/2024 11:38,197
24/09/2024 12:38,187
24/09/2024 13:38,217
24/09/2024 14:38,222
24/09/2024 15:38,200
24/09/2024 16:38,269
24/09/2024 17:38,200
24/09/2024 18:38,220
